base_score,[481.58995544]
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.0339]",48.469148728613376
"(0.0339, 0.152]",27.53998192028875
"(0.152, 0.463]",3.2980858808588884
"(0.463, 0.982]",-19.54482556635912
"(0.982, 1.0]",-9.32291881061864
"(1.0, inf]",-37.29334663640508
age,Score
"(-inf, 48.582]",-3.3311586865886658
"(48.582, 58.847]",-0.6678367680159201
"(58.847, 64.0]",4.981178956727547
"(64.0, 74.0]",8.778783573828006
"(74.0, inf]",13.620930506418588
DebtRatio,Score
"(-inf, 0.0172]",4.571841464739575
"(0.0172, 0.503]",-0.02404552752983519
"(0.503, 1.495]",-1.4538886689084372
"(1.495, inf]",0.5319688495685577
MonthlyIncome,Score
"(-inf, 0.1]",34.638831926037014
"(0.1, 5587.812]",-6.149045387845798
"(5587.812, inf]",6.148655820078824
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 5.981]",-7.081438393753189
"(5.981, 6.0]",44.74144725579678
"(6.0, 8.894]",-5.1394902751044444
"(8.894, 9.08]",30.988869718651507
"(9.08, inf]",0.5063278802921642
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",20.198565704134165
"(0.0, 1.0]",-25.51100578292109
"(1.0, 2.0]",-37.85628317123361
"(2.0, inf]",-42.18970147998247
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",13.423659902524205
"(0.0, 1.0]",-49.77308485137342
"(1.0, 2.0]",-58.75764412801775
"(2.0, inf]",-60.66741202056057
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",12.356268940081586
"(0.0, 1.0]",-0.0712812566007581
"(1.0, 2.0]",-7.355860410941077
"(2.0, 4.0]",-24.109434644030244
"(4.0, inf]",-50.278946239971226
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",8.638777385845282
"(0.0, 1.0]",-39.569152880835844
"(1.0, 2.0]",-47.147783542403886
"(2.0, inf]",-45.92609248486444
NumberOfDependents,Score
"(-inf, 0.0]",10.964122288556617
"(0.0, 1.0]",-10.323076871795244
"(1.0, 2.0]",-9.332401752011249
"(2.0, inf]",-8.310168647375544
